Guess	Count	Running average	Actual value
1	217	217	212
2	165	191	212
3	222	201.3333333333	212
4	320	231	212
5	250	234.8	212
6	240	235.6666666667	212
7	256	238.5714285714	212
8	137	225.875	212
9	327	237.1111111111	212
10	203	233.7	212
11	248	235	212
12	351	244.6666666667	212
13	264	246.1538461538	212
14	223	244.5	212
15	216	242.6	212
16	135	235.875	212
17	238	236	212
18	144	230.8888888889	212
19	213	229.9473684211	212
20	98	223.35	212
21	555	239.1428571429	212
22	190	236.9090909091	212
23	255	237.6956521739	212
24	250	238.2083333333	212
25	275	239.68	212
26	260	240.4615384615	212

